Avg TCP Retrans. Vol (Bytes),Avg RTT (ms),Avg Throughput (kbps),Cluster
2217322.7918245317,52.39696244990459,6553.8789185374335,0
1073967398.1047382,71.43147619047619,35644.45514285714,1
948517.379901961,5142.496732026145,1248.575163398693,2
